,Susceptibles,Expuestos,Infectados,Recuperados,Mosquitos_S,Mosquitos_I,Mosquitos_Total,Huevos,Temperatura,Precipitacion,Sitios_Temporales,LSM_Activo,ITN_IRS_Activo,seed,estrategia,usar_lsm,usar_itn_irs,run_id
104,9998,0,0,2,18,151,169,1867,23.2,0.0,41,True,False,123,ambas,True,True,8
105,9998,0,0,2,18,145,163,1101,22.4,8.7,41,True,False,123,ambas,True,True,8
106,9998,0,0,2,21,132,153,1557,20.4,2.0,30,True,False,123,ambas,True,True,8
107,9998,0,0,2,27,116,143,1809,21.5,4.1,30,True,False,123,ambas,True,True,8
108,9998,0,0,2,28,108,136,2087,19.4,0.0,30,True,False,123,ambas,True,True,8
109,9998,0,0,2,28,103,131,2178,20.3,19.1,39,True,False,123,ambas,True,True,8
110,9998,0,0,2,30,141,171,2397,20.2,37.1,57,True,False,123,ambas,True,True,8
111,9998,0,0,2,33,161,194,2621,19.0,31.1,46,True,False,123,ambas,True,True,8
112,9998,0,0,2,36,153,189,1160,20.3,1.8,46,True,False,123,ambas,True,True,8
113,9998,0,0,2,43,144,187,1509,21.9,0.0,42,True,False,123,ambas,True,True,8
114,9998,0,0,2,40,130,170,2024,19.7,4.7,42,True,False,123,ambas,True,True,8
115,9998,0,0,2,43,121,164,2070,21.0,8.6,46,True,False,123,ambas,True,True,8
116,9998,0,0,2,47,112,159,2226,22.9,0.0,46,True,False,123,ambas,True,True,8
117,9998,0,0,2,54,100,154,2314,20.6,2.0,37,True,False,123,ambas,True,True,8
118,9998,0,0,2,59,99,158,2209,21.3,3.9,19,True,False,123,ambas,True,True,8
119,9998,0,0,2,62,93,155,1273,22.5,2.0,4,True,False,123,ambas,True,True,8
120,9998,0,0,2,63,89,152,1677,22.4,8.9,8,True,False,123,ambas,True,True,8
121,9998,0,0,2,63,89,152,1918,22.5,0.0,8,True,False,123,ambas,True,True,8
122,9998,0,0,2,61,88,149,1781,22.8,0.0,8,True,False,123,ambas,True,True,8
123,9998,0,0,2,65,84,149,2100,22.9,2.2,4,True,False,123,ambas,True,True,8
124,9998,0,0,2,64,83,147,1967,22.0,2.0,4,True,False,123,ambas,True,True,8
125,9998,0,0,2,55,75,130,1829,20.7,4.1,4,True,False,123,ambas,True,True,8
126,9998,0,0,2,52,66,118,711,19.9,1.4,4,True,False,123,ambas,True,True,8
127,9999,0,0,1,55,66,121,821,21.1,0.5,4,True,False,123,ambas,True,True,8
128,9999,0,0,1,58,64,122,1009,21.8,7.1,3,True,False,123,ambas,True,True,8
129,9999,0,0,1,57,61,118,1201,22.2,0.3,3,True,False,123,ambas,True,True,8
130,9999,0,0,1,57,56,113,1336,21.7,10.9,8,True,False,123,ambas,True,True,8
131,9999,0,0,1,53,51,104,1613,22.0,5.1,10,True,False,123,ambas,True,True,8
132,9999,0,0,1,54,45,99,1766,21.8,5.3,12,True,False,123,ambas,True,True,8
133,9999,0,0,1,56,47,103,805,22.3,0.0,12,True,False,123,ambas,True,True,8
134,9999,0,0,1,52,42,94,977,21.5,3.0,12,True,False,123,ambas,True,True,8
135,9999,0,0,1,54,37,91,1100,23.3,2.0,12,True,False,123,ambas,True,True,8
136,9999,0,0,1,50,32,82,1275,22.6,1.0,9,True,False,123,ambas,True,True,8
137,9999,0,0,1,51,30,81,1242,21.2,0.0,9,True,False,123,ambas,True,True,8
138,9999,0,0,1,56,27,83,1255,20.7,6.9,7,True,False,123,ambas,True,True,8
139,9999,0,0,1,56,26,82,1296,22.2,0.0,5,True,False,123,ambas,True,True,8
140,9999,0,0,1,56,23,79,556,21.5,3.2,3,True,False,123,ambas,True,True,8
141,9999,0,0,1,55,23,78,853,22.2,7.0,6,True,False,123,ambas,True,True,8
142,9999,0,0,1,55,21,76,944,23.9,0.5,6,True,False,123,ambas,True,True,8
143,9999,0,0,1,54,22,76,1044,22.5,7.9,9,True,False,123,ambas,True,True,8
144,9999,0,0,1,53,23,76,1110,20.5,6.0,12,True,False,123,ambas,True,True,8
145,9999,0,0,1,50,22,72,1133,21.1,0.0,12,True,False,123,ambas,True,True,8
146,9999,0,0,1,47,22,69,1134,21.8,1.0,9,True,False,123,ambas,True,True,8
147,9999,0,0,1,48,21,69,512,22.1,0.0,9,True,False,123,ambas,True,True,8
148,9999,0,0,1,46,23,69,698,20.7,15.3,16,True,False,123,ambas,True,True,8
149,9999,0,0,1,44,21,65,891,22.7,0.8,13,True,False,123,ambas,True,True,8
150,9999,0,0,1,43,19,62,980,21.9,1.0,13,True,False,123,ambas,True,True,8
151,9999,0,0,1,41,18,59,918,22.1,0.3,10,True,False,123,ambas,True,True,8
152,9999,0,0,1,40,18,58,882,20.6,18.2,16,True,False,123,ambas,True,True,8
153,9999,0,0,1,38,17,55,975,20.7,1.0,16,True,False,123,ambas,True,True,8
154,9999,0,0,1,36,17,53,397,20.5,10.9,21,True,False,123,ambas,True,True,8
155,9999,0,0,1,42,16,58,509,20.4,1.7,21,True,False,123,ambas,True,True,8
156,9999,0,0,1,45,14,59,653,20.8,8.7,18,True,False,123,ambas,True,True,8
157,9999,0,0,1,43,12,55,802,21.5,0.3,18,True,False,123,ambas,True,True,8
158,9999,0,0,1,39,13,52,903,19.9,6.0,21,True,False,123,ambas,True,True,8
159,9999,0,0,1,39,13,52,991,20.0,14.3,28,True,False,123,ambas,True,True,8
160,9999,0,0,1,35,26,61,1073,20.3,25.5,31,True,False,123,ambas,True,True,8
161,9999,0,0,1,36,38,74,458,20.3,26.8,44,True,False,123,ambas,True,True,8
162,9999,0,0,1,34,36,70,681,21.6,0.0,39,True,False,123,ambas,True,True,8
163,9999,0,0,1,37,42,79,802,20.6,20.2,49,True,False,123,ambas,True,True,8
164,9999,0,0,1,40,39,79,1041,20.5,10.9,50,True,False,123,ambas,True,True,8
165,9999,0,0,1,47,36,83,1102,19.7,5.0,52,True,False,123,ambas,True,True,8
166,9999,0,0,1,46,35,81,1059,20.6,11.8,54,True,False,123,ambas,True,True,8
167,9999,0,0,1,39,33,72,1047,19.1,10.4,52,True,False,123,ambas,True,True,8
168,9999,0,0,1,39,32,71,522,19.9,13.5,46,True,False,123,ambas,True,True,8
169,9999,0,0,1,36,29,65,649,20.2,0.0,33,True,False,123,ambas,True,True,8
170,9999,0,0,1,36,29,65,695,20.4,1.0,33,True,False,123,ambas,True,True,8
171,9999,0,0,1,36,28,64,740,20.0,4.1,23,True,False,123,ambas,True,True,8
172,9999,0,0,1,34,27,61,771,21.2,2.3,18,True,False,123,ambas,True,True,8
173,9999,0,0,1,39,25,64,800,22.6,1.0,16,True,False,123,ambas,True,True,8
174,9999,0,0,1,39,23,62,881,21.1,4.1,11,True,False,123,ambas,True,True,8
175,9999,0,0,1,38,23,61,427,19.8,5.1,8,True,False,123,ambas,True,True,8
176,9999,0,0,1,35,22,57,506,20.6,6.1,5,True,False,123,ambas,True,True,8
177,9999,0,0,1,33,17,50,554,20.0,10.6,10,True,False,123,ambas,True,True,8
178,9999,0,0,1,36,17,53,640,21.6,0.0,10,True,False,123,ambas,True,True,8
179,9999,0,0,1,39,14,53,745,21.4,0.5,10,True,False,123,ambas,True,True,8
180,9999,0,0,1,43,14,57,732,21.0,8.3,14,True,False,123,ambas,True,True,8
181,9999,0,0,1,41,26,67,877,20.7,24.7,26,True,False,123,ambas,True,True,8
182,9999,0,0,1,40,23,63,343,21.1,10.7,31,True,False,123,ambas,True,True,8
183,9999,0,0,1,41,22,63,495,22.8,1.4,29,True,False,123,ambas,True,True,8
184,9999,0,0,1,46,24,70,637,22.7,0.6,26,True,False,123,ambas,True,True,8
185,9999,0,0,1,47,24,71,638,21.4,10.5,26,True,False,123,ambas,True,True,8
186,9999,0,0,1,47,22,69,738,21.9,9.8,30,True,False,123,ambas,True,True,8
187,9999,0,0,1,44,22,66,856,22.7,5.1,32,True,False,123,ambas,True,True,8
188,9999,0,0,1,38,23,61,978,20.5,3.8,28,True,False,123,ambas,True,True,8
189,9999,0,0,1,35,24,59,455,21.9,1.2,16,True,False,123,ambas,True,True,8
190,9999,0,0,1,36,24,60,611,22.6,3.2,11,True,False,123,ambas,True,True,8
191,9999,0,0,1,35,24,59,672,20.3,12.4,17,True,False,123,ambas,True,True,8
192,9999,0,0,1,39,56,95,914,20.8,33.8,33,True,False,123,ambas,True,True,8
193,9999,0,0,1,42,53,95,1024,20.8,4.9,28,True,False,123,ambas,True,True,8
194,9999,0,0,1,41,48,89,1124,21.5,5.5,26,True,False,123,ambas,True,True,8
195,9999,0,0,1,37,45,82,1328,22.6,2.5,24,True,False,123,ambas,True,True,8
196,9999,0,0,1,43,42,85,635,22.9,9.7,28,True,False,123,ambas,True,True,8
197,9999,0,0,1,44,38,82,734,21.3,1.0,28,True,False,123,ambas,True,True,8
198,9999,0,0,1,46,35,81,843,21.7,0.5,28,True,False,123,ambas,True,True,8
199,9999,0,0,1,43,29,72,1025,21.2,0.5,22,True,False,123,ambas,True,True,8
200,9999,0,0,1,46,29,75,1036,22.4,0.0,6,True,False,123,ambas,True,True,8
201,9999,0,0,1,44,27,71,1031,21.9,3.0,6,True,False,123,ambas,True,True,8
202,9999,0,0,1,46,27,73,1089,21.8,2.0,4,True,False,123,ambas,True,True,8
203,9999,0,0,1,49,26,75,329,22.0,0.0,4,True,False,123,ambas,True,True,8
204,9999,0,0,1,51,23,74,529,22.3,0.5,0,True,False,123,ambas,True,True,8
205,9999,0,0,1,45,20,65,552,21.6,0.5,0,True,False,123,ambas,True,True,8
206,9999,0,0,1,43,21,64,574,20.6,4.1,0,True,False,123,ambas,True,True,8
207,9999,0,0,1,43,20,63,713,20.2,16.6,8,True,False,123,ambas,True,True,8
208,9999,0,0,1,44,20,64,947,21.1,14.0,15,True,False,123,ambas,True,True,8
209,9999,0,0,1,42,18,60,982,21.4,1.3,15,True,False,123,ambas,True,True,8
210,9999,0,0,1,39,16,55,437,23.3,0.0,15,True,False,123,ambas,True,True,8
211,9999,0,0,1,38,15,53,537,22.7,0.0,15,True,False,123,ambas,True,True,8
212,9999,0,0,1,37,12,49,588,22.2,2.0,15,True,False,123,ambas,True,True,8
213,9999,0,0,1,35,11,46,651,21.7,1.0,15,True,False,123,ambas,True,True,8
214,9999,0,0,1,33,10,43,618,21.1,7.1,18,True,False,123,ambas,True,True,8
215,9999,0,0,1,28,9,37,598,21.3,11.7,15,True,False,123,ambas,True,True,8
216,9999,0,0,1,29,9,38,659,22.0,6.1,11,True,False,123,ambas,True,True,8
217,9999,0,0,1,27,24,51,294,21.0,25.9,23,True,False,123,ambas,True,True,8
218,9999,0,0,1,29,18,47,322,21.1,2.4,23,True,False,123,ambas,True,True,8
219,9999,0,0,1,30,15,45,416,22.9,0.0,23,True,False,123,ambas,True,True,8
220,9999,0,0,1,30,15,45,525,23.2,1.7,23,True,False,123,ambas,True,True,8
221,9999,0,0,1,30,14,44,590,21.3,5.6,25,True,False,123,ambas,True,True,8
222,9999,0,0,1,32,14,46,620,21.6,3.6,22,True,False,123,ambas,True,True,8
223,9999,0,0,1,32,15,47,708,22.3,16.9,25,True,False,123,ambas,True,True,8
224,9999,0,0,1,33,13,46,344,21.7,0.0,22,True,False,123,ambas,True,True,8
225,9999,0,0,1,31,11,42,418,21.4,14.9,17,True,False,123,ambas,True,True,8
226,9999,0,0,1,33,12,45,580,21.4,8.6,21,True,False,123,ambas,True,True,8
227,9999,0,0,1,34,10,44,592,20.4,18.0,30,True,False,123,ambas,True,True,8
228,9999,0,0,1,32,10,42,601,20.6,0.0,30,True,False,123,ambas,True,True,8
229,9999,0,0,1,32,12,44,657,21.7,0.4,28,True,False,123,ambas,True,True,8
230,9999,0,0,1,33,10,43,656,22.1,2.3,28,True,False,123,ambas,True,True,8
231,9999,0,0,1,32,10,42,320,22.7,5.9,22,True,False,123,ambas,True,True,8
232,9999,0,0,1,32,9,41,423,20.8,7.1,25,True,False,123,ambas,True,True,8
233,9999,0,0,1,32,9,41,481,21.1,0.0,18,True,False,123,ambas,True,True,8
234,9999,0,0,1,31,9,40,548,21.1,6.5,17,True,False,123,ambas,True,True,8
235,9999,0,0,1,31,9,40,589,21.4,9.5,12,True,False,123,ambas,True,True,8
236,9999,0,0,1,30,9,39,576,22.2,1.4,12,True,False,123,ambas,True,True,8
237,9999,0,0,1,31,9,40,639,21.6,2.5,12,True,False,123,ambas,True,True,8
238,9999,0,0,1,32,8,40,332,21.1,6.3,15,True,False,123,ambas,True,True,8
239,9999,0,0,1,33,7,40,426,21.8,0.0,13,True,False,123,ambas,True,True,8
240,9999,0,0,1,35,8,43,531,20.2,3.3,10,True,False,123,ambas,True,True,8
241,9999,0,0,1,40,6,46,561,21.7,0.0,10,True,False,123,ambas,True,True,8
242,9999,0,0,1,37,6,43,533,22.3,5.4,9,True,False,123,ambas,True,True,8
243,9999,0,0,1,34,6,40,651,22.2,14.0,12,True,False,123,ambas,True,True,8
244,9999,0,0,1,32,5,37,606,21.8,0.0,12,True,False,123,ambas,True,True,8
245,9999,0,0,1,31,5,36,326,21.3,3.4,12,True,False,123,ambas,True,True,8
246,9999,0,0,1,36,5,41,373,21.4,8.9,13,True,False,123,ambas,True,True,8
247,9999,0,0,1,36,4,40,465,21.7,7.7,16,True,False,123,ambas,True,True,8
248,9999,0,0,1,35,4,39,496,22.2,1.4,16,True,False,123,ambas,True,True,8
249,9999,0,0,1,39,4,43,565,22.4,1.7,16,True,False,123,ambas,True,True,8
250,9999,0,0,1,37,4,41,535,20.7,6.7,17,True,False,123,ambas,True,True,8
251,9999,0,0,1,35,4,39,626,22.5,1.9,10,True,False,123,ambas,True,True,8
252,9999,0,0,1,33,3,36,314,23.3,0.0,10,True,False,123,ambas,True,True,8
253,9999,0,0,1,31,3,34,416,22.2,14.0,17,True,False,123,ambas,True,True,8
254,9999,0,0,1,33,3,36,529,22.1,0.0,13,True,False,123,ambas,True,True,8
255,9999,0,0,1,31,28,59,722,21.0,31.0,25,True,False,123,ambas,True,True,8
256,9999,0,0,1,32,25,57,834,22.0,0.0,25,True,False,123,ambas,True,True,8
257,9999,0,0,1,33,24,57,977,21.0,3.9,25,True,False,123,ambas,True,True,8
258,9999,0,0,1,31,24,55,1082,21.9,13.6,28,True,False,123,ambas,True,True,8
259,9999,0,0,1,42,30,72,549,20.5,22.6,39,True,False,123,ambas,True,True,8
260,9999,0,0,1,40,40,80,711,20.5,24.8,51,True,False,123,ambas,True,True,8
261,9999,0,0,1,41,39,80,843,20.8,7.7,47,True,False,123,ambas,True,True,8
262,9999,0,0,1,40,36,76,987,20.6,1.2,47,True,False,123,ambas,True,True,8
263,9999,0,0,1,39,33,72,1088,21.7,11.2,37,True,False,123,ambas,True,True,8
264,9999,0,0,1,36,33,69,1169,20.4,18.0,46,True,False,123,ambas,True,True,8
265,9999,0,0,1,33,32,65,1262,20.6,4.9,46,True,False,123,ambas,True,True,8
266,9999,0,0,1,30,28,58,588,21.5,2.0,40,True,False,123,ambas,True,True,8
267,9999,0,0,1,30,27,57,681,20.7,0.0,29,True,False,123,ambas,True,True,8
268,9999,0,0,1,27,24,51,711,22.4,0.0,17,True,False,123,ambas,True,True,8
269,9999,0,0,1,31,22,53,779,22.3,0.0,14,True,False,123,ambas,True,True,8
270,9999,0,0,1,35,23,58,773,21.9,0.0,14,True,False,123,ambas,True,True,8
271,9999,0,0,1,41,21,62,899,21.3,6.4,12,True,False,123,ambas,True,True,8
272,9999,0,0,1,42,19,61,866,19.9,7.2,6,True,False,123,ambas,True,True,8
273,9999,0,0,1,44,17,61,294,19.8,2.4,6,True,False,123,ambas,True,True,8
274,9999,0,0,1,40,16,56,405,20.5,0.0,6,True,False,123,ambas,True,True,8
275,9999,0,0,1,39,17,56,492,21.3,1.7,6,True,False,123,ambas,True,True,8
276,9999,0,0,1,37,15,52,585,22.6,3.3,6,True,False,123,ambas,True,True,8
277,9999,0,0,1,38,14,52,621,21.0,0.5,6,True,False,123,ambas,True,True,8
278,9999,0,0,1,45,11,56,592,20.4,0.0,6,True,False,123,ambas,True,True,8
279,9999,0,0,1,43,11,54,569,20.8,1.7,3,True,False,123,ambas,True,True,8
280,9999,0,0,1,42,9,51,183,21.6,6.1,3,True,False,123,ambas,True,True,8
281,9999,0,0,1,38,9,47,247,19.7,7.3,6,True,False,123,ambas,True,True,8
282,9999,0,0,1,33,59,92,458,21.1,39.1,25,True,False,123,ambas,True,True,8
283,9999,0,0,1,32,56,88,662,21.9,0.0,25,True,False,123,ambas,True,True,8
284,9999,0,0,1,29,50,79,790,21.4,0.0,25,True,False,123,ambas,True,True,8
